id,name,host_id,host_since,host_total_listings_count,latitude,longitude,neighbourhood_cleansed,property_type,room_type,square_feet,price,review_scores_rating,z_score
36595755,“CARSO-CHIC-NEW-6 PEOPLE WITH CONFORT- POOL & GYM”,23387759,2014-11-05,3,19.44205,-99.2011,Miguel Hidalgo,Serviced apartment,Entire home/apt,,2492.0,100.0,0.29743031074820253
36596868,La casa de los que se Acomoden,275082834,2019-07-10,1,19.2749,-99.18576,Tlalpan,House,Private room,,245.0,,-0.23927627572824306
36598744,Antigua,26000621,2015-01-12,1,19.36364,-99.27443000000001,Cuajimalpa de Morelos,Condominium,Entire home/apt,,1006.0,100.0,-0.057507823432481994
36600310,Grande habitación privada en La Condesa 4 personas,33694361,2015-05-18,4,19.410829999999997,-99.17548000000001,Cuauhtémoc,Apartment,Private room,,455.0,100.0,-0.18911678166502383
36600569,Tamaulipas,22931264,2014-10-24,16,19.41295,-99.17284000000001,Cuauhtémoc,Apartment,Entire home/apt,,1591.0,95.0,0.08222219574362867
36601206,Luminoso apartamento  en CONDESA!!!,235268181,2019-01-08,2,19.4099,-99.17397,Cuauhtémoc,Apartment,Entire home/apt,,1841.0,84.0,0.14193587915222297
36602393,Casa comoda para descansar,178628799,2018-03-15,1,19.365029999999997,-99.19615,Álvaro Obregón,House,Entire home/apt,,401.0,,-0.2020149372812802
36602446,Beautiful 2 Bedroom Apartment in Polanco,227002676,2018-11-22,3,19.29637,-99.0173,Tláhuac,Apartment,Entire home/apt,,2449.0,,0.2871595572019243
36602924,Mexican and elegant duplex GREAT VALUE-50%OFF,275129667,2019-07-10,1,19.42697,-99.15536999999999,Cuauhtémoc,Apartment,Entire home/apt,,1199.0,97.0,-0.01140885984104719
36603616,"MODERN  LOFT, very well located with roof top!",241327887,2019-02-05,3,19.38664,-99.18153000000001,Benito Juárez,Loft,Entire home/apt,,892.0,96.0,-0.08473726306680099
36603809,San Ángel Cozy apartment 2parking/2BR/2BA,122920296,2017-03-27,14,19.34269,-99.1905,Álvaro Obregón,Apartment,Entire home/apt,,1204.0,88.0,-0.010214586172875306
36604011,Perfect Loft great Location,91265490,2016-08-22,224,19.40071,-99.17652,Miguel Hidalgo,Loft,Entire home/apt,,769.0,94.0,-0.11411639530382939
36604351,Perfect Loft great Location,91265490,2016-08-22,224,19.40019,-99.1759,Miguel Hidalgo,Loft,Entire home/apt,,747.0,97.0,-0.11937119944378569
36604584,Perfect Loft great Location,91265490,2016-08-22,224,19.400779999999997,-99.17631,Miguel Hidalgo,Loft,Entire home/apt,,656.0,96.0,-0.141106980204514
36605906,“Viva Coyoacán “ el placer de lo tradicional.,271103557,2019-06-24,4,19.34556,-99.16201,Coyoacán,Condominium,Entire home/apt,,1939.0,94.0,0.16534364304839194
36609225,"Amplio departamento Nápoles, WTC DKT- 203",178040429,2018-03-12,53,19.38792,-99.18072,Benito Juárez,Apartment,Entire home/apt,,1360.0,,0.02704675227408754
36611625,Modern Loft in the Heart of Roma Norte.,22698330,2014-10-18,1,19.4206,-99.16709,Cuauhtémoc,Loft,Entire home/apt,,2829.0,96.0,0.3779243559829877
36622350,Perfect Loft great Location,91265490,2016-08-22,224,19.399520000000003,-99.17683000000001,Miguel Hidalgo,Loft,Entire home/apt,,747.0,95.0,-0.11937119944378569
36624037,"Condesa, Cozy & Comfy place",275271911,2019-07-11,1,19.41013,-99.1746,Cuauhtémoc,Apartment,Entire home/apt,,1000.0,99.0,-0.058940951834288255
36628442,Nice & Comfortable room near Masaryk 3E,42943092,2015-08-30,28,19.43398,-99.20116,Miguel Hidalgo,Apartment,Private room,,702.0,95.0,-0.13011966245733267
36629500,Amazing and spacious  Room in la Condesa.,24810079,2014-12-14,3,19.40634,-99.17246999999999,Cuauhtémoc,Apartment,Private room,,591.0,100.0,-0.15663253789074855
36629518,"A 3 min Hospital La Raza, 1-2 pers, Av. Jardin 257",225495740,2018-11-12,3,19.46363,-99.15781,Cuauhtémoc,Apartment,Private room,,401.0,100.0,-0.2020149372812802
36633514,Beautiful Double Suite perfect Location,91265490,2016-08-22,224,19.43444,-99.16932,Cuauhtémoc,Apartment,Entire home/apt,,1086.0,95.0,-0.03839944474173181
36634037,Centric room in the heart of Mexico City,256444224,2019-04-17,0,19.434479999999997,-99.17151,Miguel Hidalgo,Apartment,Private room,,430.0,100.0,-0.19508815000588325
36637093,lino´s,257620645,2019-04-23,0,19.45488,-99.18347,Miguel Hidalgo,Guest suite,Private room,,459.0,,-0.18816136273048634
36641276,U-Co Roma (Private Room),51921637,2015-12-21,7,19.42305,-99.16176,Cuauhtémoc,Bed and breakfast,Hotel room,,1083.0,97.0,-0.03911600894263495
36641593,Beautiful Flat with terrace,91265490,2016-08-22,224,19.43284,-99.16945,Cuauhtémoc,Apartment,Entire home/apt,,1091.0,94.0,-0.03720517107355993
36641695,Cuarto en Polanco cerca de Hospital Español VM3,4647678,2013-01-09,11,19.43686,-99.21067,Miguel Hidalgo,Condominium,Private room,,607.0,95.0,-0.1528108621525985
36642173,"Nuevo Estudio/departamento, Centro Histórico",108582490,2016-12-26,0,19.43321,-99.14322,Cuauhtémoc,Loft,Entire home/apt,,996.0,95.0,-0.059896370768825764
36642795,Cuarto en Polanco cerca de Hospital Militar VM4,4647678,2013-01-09,11,19.43686,-99.21067,Miguel Hidalgo,Condominium,Private room,,453.0,96.0,-0.1895944911322926
